Epoch,Training Accuracy,Evaluation Accuracy
1,95.57%,29.90%
2,95.51%,15.02%
3,94.75%,33.61%
4,94.12%,54.88%
5,94.43%,99.51%
6,95.03%,99.51%
7,95.12%,99.51%
8,95.34%,99.51%
9,95.24%,99.51%
10,95.70%,99.51%
11,95.85%,99.51%
12,95.90%,99.51%
13,95.85%,99.51%
14,96.05%,99.51%
15,96.07%,99.51%
16,95.76%,99.51%
17,95.95%,99.51%
18,95.70%,99.51%
19,96.04%,99.51%
20,95.79%,99.51%
21,96.12%,99.51%
22,96.12%,99.51%
23,96.00%,99.51%
24,96.00%,99.51%
25,96.06%,99.51%
26,96.09%,99.51%
27,95.93%,99.51%
28,96.07%,99.51%
29,96.02%,99.51%
30,95.96%,99.51%
31,96.08%,99.51%
32,95.86%,99.51%
33,95.71%,99.51%
34,95.99%,99.51%
35,96.09%,99.51%
36,95.93%,99.51%
37,96.11%,99.51%
38,96.02%,99.51%
39,96.07%,99.51%
40,95.86%,99.51%
41,95.75%,99.51%
42,95.64%,99.51%
43,95.91%,99.51%
44,95.85%,99.51%
45,95.99%,99.51%
46,95.95%,99.51%
47,95.90%,99.51%
48,95.99%,99.51%
49,95.96%,99.51%
50,95.91%,99.51%
