Epoch,Training Accuracy,Evaluation Accuracy
1,95.75%,14.29%
2,95.39%,23.80%
3,94.90%,10.59%
4,94.40%,99.51%
5,94.14%,99.51%
6,95.03%,99.51%
7,95.22%,99.51%
8,95.57%,99.51%
9,95.86%,99.51%
10,95.67%,99.51%
11,95.85%,99.51%
12,95.96%,99.51%
13,96.18%,99.51%
14,95.96%,99.51%
15,95.91%,99.51%
16,96.13%,99.51%
17,95.96%,99.51%
18,95.80%,99.51%
19,95.99%,99.51%
20,96.07%,99.51%
21,95.85%,99.51%
22,95.93%,99.51%
23,95.93%,99.51%
24,95.83%,99.51%
25,96.10%,99.51%
26,96.23%,99.51%
27,95.99%,99.51%
28,96.13%,99.51%
29,96.34%,99.51%
30,96.14%,99.51%
31,96.05%,99.51%
32,96.09%,99.51%
33,95.84%,99.51%
34,96.09%,99.51%
35,95.90%,99.51%
36,95.93%,99.51%
37,95.95%,99.51%
38,95.89%,99.51%
39,95.88%,99.51%
40,95.97%,99.51%
41,95.96%,99.51%
42,96.01%,99.51%
43,95.71%,99.51%
44,96.00%,99.51%
45,95.88%,99.51%
46,95.80%,99.51%
47,95.88%,99.51%
48,96.13%,99.51%
49,95.95%,99.51%
50,95.93%,99.51%
